adj,noun,f,ipm
"русский","рысак",1, 0.01030
"русский","пес",1, 0.01030
"русский","кирпичник",1, 0.01030
"русский","фугас",1, 0.01030
"русский","мадемуазель",1, 0.01030
"русский","радиоинженер",1, 0.01030
"русский","печать",1, 0.01030
"русский","воля",1, 0.01030
"русский","ярмарка",1, 0.01030
"русский","подруга",1, 0.01030
"русский","цирк",1, 0.01030
"русский","гильза",1, 0.01030
"русский","соловей",1, 0.01030
"русский","галифе",1, 0.01030
"русский","баден-баден",1, 0.01030
"русский","хлебороб",1, 0.01030
"русский","архипелаг",1, 0.01030
"русский","зарубежье",1, 0.01030
"русский","пакость",1, 0.01030
"русский","автомат",1, 0.01030
"русский","галоша",1, 0.01030
"русский","судьба",1, 0.01030
"русский","лаборатория",1, 0.01030
"русский","обувка",1, 0.01030
"русский","преподаватель",1, 0.01030
